chid,alt,x1,x2,x3,s1,s2,e1,e2,o1,dist,LC,utility,match,flag
14,0,41,5,1.5,s12,s21,e12,e21,o12,17.04,1,-5.893367249,0,tr
14,1,25,13,4.25,s12,s21,e12,e21,o12,17.04,1,-4.176794392,1,tr
15,0,6,5,1.5,s11,s22,e12,e22,o12,2.15,2,-2.155695788,1,tr
15,1,3,18,2,s11,s22,e12,e22,o12,2.15,2,-3.827153284,0,tr
16,0,8,3,1.5,s11,s21,e11,e22,o13,3.26,3,-1.172761965,1,tr
16,1,5,17,2,s11,s21,e11,e22,o13,3.26,3,-1.296874629,0,tr
17,0,6,5,1.5,s11,s21,e11,e21,o12,2.36,3,-1.35892144,0,tr
17,1,4,14,2,s11,s21,e11,e21,o12,2.36,3,-0.846506502,1,tr
18,0,11,6,2,s11,s21,e12,e21,o13,4.18,3,-2.269545564,1,tr
18,1,6,16,2,s11,s21,e12,e21,o13,4.18,3,-2.333021041,0,tr
19,0,6,5,2,s12,s21,e11,e22,o13,2.78,1,-1.729470099,0,ts
19,1,4,13,2,s12,s21,e11,e22,o13,2.78,1,-0.802888466,1,ts
20,0,7,5,1.5,s11,s23,e12,e23,o13,3.19,2,-2.149246019,1,tr
20,1,5,16,2,s11,s23,e12,e23,o13,3.19,2,-3.781021829,0,tr
21,0,11,4,1.5,s12,s21,e11,e22,o13,5.17,1,-2.026778932,0,tr
21,1,8,11,2.75,s12,s21,e11,e22,o13,5.17,1,-0.885357493,1,tr
22,0,38,6,1.5,s11,s21,e11,e21,o13,13.23,3,-4.783916876,0,tr
22,1,19,14,3.5,s11,s21,e11,e21,o13,13.23,3,-2.559754307,1,tr
23,0,11,5,1.5,s13,s21,e11,e22,o13,5.22,3,-1.914234694,0,ts
23,1,7,19,2.75,s13,s21,e11,e22,o13,5.22,3,-1.873044234,1,ts
24,0,19,6,1.5,s12,s21,e11,e23,o13,9.34,1,-3.296065027,0,tr
24,1,15,13,2.75,s12,s21,e11,e23,o13,9.34,1,-1.886405057,1,tr
25,0,7,4,1.5,s12,s21,e12,e23,o13,4.08,1,-1.583847572,1,tr
25,1,6,16,2,s12,s21,e12,e23,o13,4.08,1,-1.836837356,0,tr
26,0,6,7,1.5,s12,s21,e12,e23,o13,2.63,1,-1.740055126,1,ts
26,1,4,16,2,s12,s21,e12,e23,o13,2.63,1,-1.931071023,0,ts
27,0,12,7,2,s11,s21,e12,e22,o12,5.16,3,-2.158196009,1,tr
27,1,7,21,2.75,s11,s21,e12,e22,o12,5.16,3,-2.877583104,0,tr
28,0,21,5,1.5,s12,s21,e12,e22,o13,8.78,1,-3.196260721,1,ts
28,1,12,18,2.75,s12,s21,e12,e22,o13,8.78,1,-3.485001663,0,ts
29,0,3,6,1.5,s11,s21,e12,e22,o12,2.57,1,-1.254494108,1,tr
29,1,4,13,2,s11,s21,e12,e22,o12,2.57,1,-1.605496468,0,tr
30,0,5,7,2,s12,s21,e13,e23,o13,2.15,1,-1.731508648,1,tr
30,1,3,17,2,s12,s21,e13,e23,o13,2.15,1,-2.134222925,0,tr
31,0,16,4,1.5,s11,s21,e12,e21,o12,7.64,3,-2.416532858,1,tr
31,1,12,12,2.75,s11,s21,e12,e21,o12,7.64,3,-2.522140227,0,tr
32,0,8,6,1.5,s11,s21,e11,e22,o12,2.93,3,-1.66449639,0,ts
32,1,4,14,2,s11,s21,e11,e22,o12,2.93,3,-0.72859929,1,ts
33,0,19,5,1.5,s12,s21,e12,e23,o13,11.56,1,-3.118489001,1,ts
33,1,17,16,3.5,s12,s21,e12,e23,o13,11.56,1,-3.306445559,0,ts
34,0,27,6,1.5,s11,s22,e11,e22,o13,10.47,1,-4.361627909,0,ts
34,1,17,15,3.5,s11,s22,e11,e22,o13,10.47,1,-2.564963208,1,ts
35,0,18,5,1.5,s11,s21,e12,e23,o12,9.17,2,-3.26871621,1,tr
35,1,14,11,2.75,s11,s21,e12,e23,o12,9.17,2,-3.463422052,0,tr
36,0,9,6,1.5,s11,s21,e13,e21,o13,5.14,3,-1.839164291,1,tr
36,1,7,15,2.75,s11,s21,e13,e21,o13,5.14,3,-2.494711507,0,tr
37,0,6,5,1.5,s12,s21,e12,e21,o13,4.08,2,-1.903985664,1,tr
37,1,6,17,2,s12,s21,e12,e21,o13,4.08,2,-3.968588669,0,tr
38,0,7,7,1.5,s12,s21,e12,e22,o14,3.71,1,-1.890039675,0,tr
38,1,6,13,2,s12,s21,e12,e22,o14,3.71,1,-1.625038845,1,tr
39,0,6,4,2,s11,s21,e11,e22,o13,3.24,3,-1.48429797,0,tr
39,1,5,11,2,s11,s21,e11,e22,o13,3.24,3,-0.489084683,1,tr
40,0,6,5,1.5,s11,s22,e12,e21,o11,3.79,2,-1.955036263,1,tr
40,1,6,14,2,s11,s22,e12,e21,o11,3.79,2,-3.400914311,0,tr
41,0,4,5,1.5,s11,s22,e12,e21,o12,3.69,1,-1.15014384,1,tr
41,1,6,14,2,s11,s22,e12,e21,o12,3.69,1,-1.942841591,0,tr
42,0,22,5,2,s12,s21,e12,e21,o11,11.72,3,-3.164989189,1,tr
42,1,17,16,3.5,s12,s21,e12,e21,o11,11.72,3,-3.573792001,0,tr
43,0,6,5,1.5,s11,s21,e11,e21,o12,2.17,3,-1.240165158,0,tr
43,1,3,15,2,s11,s21,e11,e21,o12,2.17,3,-0.992208245,1,tr
44,0,13,5,1.5,s11,s22,e11,e22,o12,7.38,2,-2.658910944,1,ts
44,1,11,15,2.75,s11,s22,e11,e22,o12,7.38,2,-2.861531942,0,ts
45,0,16,5,2,s12,s21,e12,e22,o13,8.81,1,-2.955343769,0,tr
45,1,14,14,2.75,s12,s21,e12,e22,o13,8.81,1,-2.891674239,1,tr
46,0,4,6,1.5,s12,s21,e13,e23,o13,2.97,1,-1.40171036,0,tr
46,1,4,10,2,s12,s21,e13,e23,o13,2.97,1,-0.979411881,1,tr
47,0,14,6,2,s11,s21,e13,e22,o13,6.95,3,-2.561747856,1,ts
47,1,11,17,2.75,s11,s21,e13,e22,o13,6.95,3,-3.461814853,0,ts
48,0,8,5,1.5,s12,s23,e13,e21,o12,4.2,1,-1.76684839,1,tr
48,1,7,14,2,s12,s23,e13,e21,o12,4.2,1,-2.293528513,0,tr
49,0,9,6,2,s12,s21,e13,e21,o13,4.26,1,-2.224910794,1,tr
49,1,7,15,2,s12,s21,e13,e21,o13,4.26,1,-2.57472481,0,tr
50,0,6,6,1.5,s13,s21,e13,e22,o12,3.33,3,-1.673767186,1,tr
50,1,5,16,2,s13,s21,e13,e22,o12,3.33,3,-2.49576287,0,tr
51,0,6,5,1.5,s12,s21,e12,e23,o13,2.69,2,-2.079950733,1,tr
51,1,4,16,2,s12,s21,e12,e23,o13,2.69,2,-4.010926017,0,tr
52,0,8,5,1.5,s12,s23,e12,e22,o13,6.25,1,-1.535737051,1,tr
52,1,10,15,2.75,s12,s23,e12,e22,o13,6.25,1,-2.5891146,0,tr
53,0,7,4,2,s11,s21,e11,e23,o12,3.22,3,-1.313395506,0,ts
53,1,5,17,2,s11,s21,e11,e23,o12,3.22,3,-1.015574299,1,ts
54,0,5,4,1.5,s11,s21,e11,e22,o13,2.67,3,-1.07221591,1,tr
54,1,4,17,2,s11,s21,e11,e22,o13,2.67,3,-1.207253962,0,tr
55,0,14,6,1.5,s12,s21,e12,e22,o14,7.82,1,-2.537835652,0,tr
55,1,14,11,2.75,s12,s21,e12,e22,o14,7.82,1,-2.335911669,1,tr
56,0,4,6,1.5,s12,s21,e11,e22,o12,2.23,1,-1.370989787,1,tr
56,1,3,19,2,s12,s21,e11,e22,o12,2.23,1,-1.538053174,0,tr
57,0,6,7,1.5,s12,s23,e11,e23,o13,3.04,1,-2.037377994,0,tr
57,1,5,17,2,s12,s23,e11,e23,o13,3.04,1,-0.957150294,1,tr
58,0,21,3,1.5,s11,s23,e13,e22,o14,10.95,2,-2.831337878,1,tr
58,1,17,15,3.5,s11,s23,e13,e22,o14,10.95,2,-4.981982289,0,tr
59,0,5,5,2,s12,s21,e12,e22,o13,2.51,1,-1.47696785,1,ts
59,1,4,18,2,s12,s21,e12,e22,o13,2.51,1,-2.186672981,0,ts
60,0,6,5,2,s12,s21,e12,e22,o12,3.97,1,-1.566159124,1,tr
60,1,6,16,2,s12,s21,e12,e22,o12,3.97,1,-1.874379492,0,tr
61,0,16,5,1.5,s12,s21,e12,e22,o13,5.4,1,-2.850044558,0,tr
61,1,8,11,2.75,s12,s21,e12,e22,o13,5.4,1,-1.626566947,1,tr
62,0,6,6,2,s11,s23,e12,e21,o11,2.7,2,-2.031062557,1,tr
62,1,4,18,2,s11,s23,e12,e21,o11,2.7,2,-4.483532026,0,tr
63,0,6,5,1.5,s12,s21,e12,e23,o11,2.58,1,-1.545808937,0,ts
63,1,4,12,2,s12,s21,e12,e23,o11,2.58,1,-1.066757812,1,ts
64,0,13,5,2,s12,s23,e11,e23,o14,4.63,1,-2.505551453,0,tr
64,1,7,18,2,s12,s23,e11,e23,o14,4.63,1,-1.490760656,1,tr
65,0,8,4,1.5,s13,s21,e13,e22,o11,5.08,3,-1.234391563,1,tr
65,1,8,15,2.75,s13,s21,e13,e22,o11,5.08,3,-2.611480982,0,tr
66,0,9,4,1.5,s12,s21,e13,e21,o13,5.32,1,-1.824090901,1,tr
66,1,8,16,2.75,s12,s21,e13,e21,o13,5.32,1,-2.919584108,0,tr
67,0,26,6,1.5,s11,s21,e11,e22,o11,18.11,2,-3.909462859,1,tr
67,1,27,14,4.25,s11,s21,e11,e22,o11,18.11,2,-4.369437303,0,tr
68,0,32,5,1.5,s11,s23,e12,e21,o12,16.9,2,-4.414718527,1,tr
68,1,24,16,4.25,s11,s23,e12,e21,o12,16.9,2,-5.719314804,0,tr
69,0,12,5,1.5,s12,s21,e12,e21,o12,4.92,1,-2.258260959,0,tr
69,1,7,14,2,s12,s21,e12,e21,o12,4.92,1,-2.12175192,1,tr
70,0,16,5,1.5,s12,s21,e12,e22,o14,7.97,1,-2.804639747,0,tr
70,1,12,13,2.75,s12,s21,e12,e22,o14,7.97,1,-2.135367519,1,tr
71,0,5,4,1.5,s12,s21,e12,e21,o11,5.04,1,-1.297409865,1,tr
71,1,7,17,2.75,s12,s21,e12,e21,o11,5.04,1,-2.27603407,0,tr
72,0,5,5,1.5,s12,s21,e13,e21,o12,2.4,1,-1.705013565,1,tr
72,1,4,16,2,s12,s21,e13,e21,o12,2.4,1,-2.39684797,0,tr
73,0,3,5,1.5,s11,s21,e12,e22,o13,2.27,3,-1.278229892,1,tr
73,1,3,18,2,s11,s21,e12,e22,o13,2.27,3,-2.060094469,0,tr
74,0,9,4,1.5,s12,s21,e11,e23,o13,5.4,1,-1.77662258,0,tr
74,1,8,14,2.75,s12,s21,e11,e23,o13,5.4,1,-1.018168566,1,tr
75,0,23,5,1.5,s12,s21,e13,e23,o11,9.29,1,-3.522708861,0,ts
75,1,14,14,2.75,s12,s21,e13,e23,o11,9.29,1,-2.923260213,1,ts
76,0,7,6,2,s11,s23,e12,e21,o11,3.2,2,-2.380813276,1,tr
76,1,5,13,2,s11,s23,e12,e21,o11,3.2,2,-2.986869973,0,tr
77,0,17,5,1.5,s11,s21,e12,e21,o13,8.65,3,-2.554218962,1,tr
77,1,14,15,2.75,s11,s21,e12,e21,o13,8.65,3,-2.953185507,0,tr
78,0,49,5,1.5,s11,s23,e12,e21,o12,18.95,2,-6.122230217,0,tr
78,1,28,15,4.25,s11,s23,e12,e21,o12,18.95,2,-5.697529097,1,tr
79,0,8,6,1.5,s11,s21,e11,e22,o13,3.9,3,-1.574611622,0,ts
79,1,6,14,2,s11,s21,e11,e22,o13,3.9,3,-1.149212542,1,ts
80,0,4,6,1.5,s11,s21,e11,e22,o13,3.33,3,-1.229056014,0,tr
80,1,5,16,2,s11,s21,e11,e22,o13,3.33,3,-1.09517449,1,tr
81,0,4,7,2,s11,s21,e11,e21,o12,2.34,3,-1.260265415,0,ts
81,1,4,15,2,s11,s21,e11,e21,o12,2.34,3,-1.067097411,1,ts
82,0,13,5,2,s11,s21,e11,e22,o14,5.4,3,-2.058093991,0,tr
82,1,9,14,2.75,s11,s21,e11,e22,o14,5.4,3,-1.390011278,1,tr
83,0,17,6,2,s11,s21,e11,e23,o11,7.87,3,-2.516800287,0,tr
83,1,10,15,2.75,s11,s21,e11,e23,o11,7.87,3,-1.81065834,1,tr
84,0,5,3,1.5,s11,s21,e12,e22,o11,2.41,3,-0.674363378,1,ts
84,1,3,17,2,s11,s21,e12,e22,o11,2.41,3,-2.134388994,0,ts
85,0,7,5,1.5,s11,s21,e12,e22,o11,4.26,3,-1.349621186,1,tr
85,1,7,19,2,s11,s21,e12,e22,o11,4.26,3,-2.705525139,0,tr
86,0,5,5,1.5,s12,s21,e11,e21,o13,2.08,1,-1.45247084,0,ts
86,1,3,15,2,s12,s21,e11,e21,o13,2.08,1,-0.902884614,1,ts
87,0,8,6,2,s11,s21,e11,e21,o11,3.65,3,-1.815908582,0,ts
87,1,5,16,2,s11,s21,e11,e21,o11,3.65,3,-1.405107811,1,ts
88,0,9,5,2,s11,s21,e13,e22,o13,5.09,3,-1.8069601,1,tr
88,1,8,18,2.75,s11,s21,e13,e22,o13,5.09,3,-3.119483968,0,tr
89,0,25,7,2,s11,s21,e11,e23,o13,11.32,3,-3.534950703,0,tr
89,1,18,16,3.5,s11,s21,e11,e23,o13,11.32,3,-2.532887392,1,tr
90,0,31,5,1.5,s11,s23,e11,e22,o13,14.69,2,-4.39149392,1,tr
90,1,23,15,3.5,s11,s23,e11,e22,o13,14.69,2,-4.603220196,0,tr
91,0,9,6,1.5,s11,s21,e12,e22,o11,4.01,3,-1.782215007,1,tr
91,1,6,15,2,s11,s21,e12,e22,o11,4.01,3,-1.93290169,0,tr
92,0,5,5,1.5,s11,s21,e11,e22,o14,2.79,3,-1.128628302,0,tr
92,1,4,12,2,s11,s21,e11,e22,o14,2.79,3,-0.552812883,1,tr
93,0,6,3,2,s11,s23,e11,e22,o12,2.31,2,-1.517797126,1,tr
93,1,4,13,2,s11,s23,e11,e22,o12,2.31,2,-1.860808437,0,tr
94,0,3,3,1.5,s12,s21,e11,e22,o13,2.05,1,-0.866062864,0,tr
94,1,3,15,2,s12,s21,e11,e22,o13,2.05,1,-0.52411829,1,tr
95,0,23,7,2,s11,s21,e12,e23,o11,12.73,3,-3.356495462,0,tr
95,1,17,13,3.5,s11,s21,e12,e23,o11,12.73,3,-2.61272223,1,tr
96,0,4,5,2,s11,s21,e13,e22,o13,2.99,3,-1.435480185,1,tr
96,1,5,13,2,s11,s21,e13,e22,o13,2.99,3,-2.195367939,0,tr
97,0,16,5,2,s12,s21,e12,e21,o11,8.28,1,-2.715939464,1,ts
97,1,12,15,2.75,s12,s21,e12,e21,o11,8.28,1,-2.799046634,0,ts
98,0,8,7,2,s12,s21,e11,e22,o13,4.03,1,-2.224305839,0,tr
98,1,6,17,2,s12,s21,e11,e22,o13,4.03,1,-1.598974725,1,tr
99,0,8,4,1.5,s11,s21,e11,e22,o11,5.33,3,-1.43079592,1,tr
99,1,8,16,2.75,s11,s21,e11,e22,o11,5.33,3,-1.644105737,0,tr
100,0,19,4,1.5,s11,s21,e12,e23,o12,10.12,3,-2.642373325,1,ts
100,1,16,14,3.5,s11,s21,e12,e23,o12,10.12,3,-2.697083875,0,ts
101,0,16,5,1.5,s11,s21,e12,e23,o12,7.12,3,-2.428702122,0,tr
101,1,10,15,2.75,s11,s21,e12,e23,o12,7.12,3,-1.944587617,1,tr
102,0,10,5,1.5,s11,s21,e12,e23,o11,4.3,3,-2.102444292,0,tr
102,1,5,16,2,s11,s21,e12,e23,o11,4.3,3,-1.857068211,1,tr
103,0,7,3,1.5,s12,s21,e11,e22,o13,2.8,1,-1.618009585,0,tr
103,1,4,14,2,s12,s21,e11,e22,o13,2.8,1,-0.909684204,1,tr
104,0,11,6,1.5,s11,s21,e13,e22,o14,5.04,3,-2.169100297,1,tr
104,1,8,16,2.75,s11,s21,e13,e22,o14,5.04,3,-2.780296516,0,tr
105,0,10,5,1.5,s12,s21,e11,e22,o14,4.5,1,-1.959861983,0,tr
105,1,6,14,2,s12,s21,e11,e22,o14,4.5,1,-1.019860497,1,tr
106,0,9,4,1.5,s11,s23,e11,e22,o12,3.88,2,-2.128099097,1,tr
106,1,6,16,2,s11,s23,e11,e22,o12,3.88,2,-2.799368708,0,tr
107,0,13,5,1.5,s12,s21,e11,e22,o12,7.14,1,-2.436362213,0,tr
107,1,11,16,2.75,s12,s21,e11,e22,o12,7.14,1,-1.970496402,1,tr
108,0,11,6,1.5,s12,s22,e12,e21,o11,4.42,1,-2.283032009,0,tr
108,1,7,14,2,s12,s22,e12,e21,o11,4.42,1,-1.95286759,1,tr
109,0,49,4,1.5,s11,s23,e13,e22,o12,23.02,2,-6.227880802,1,tr
109,1,33,14,5,s11,s23,e13,e22,o12,23.02,2,-6.337013831,0,tr
110,0,21,4,1.5,s12,s21,e12,e23,o13,9.41,1,-3.330155858,0,tr
110,1,14,16,2.75,s12,s21,e12,e23,o13,9.41,1,-3.054590745,1,tr
111,0,20,4,1.5,s12,s23,e13,e23,o14,8.62,1,-3.128187307,0,tr
111,1,12,12,2.75,s12,s23,e13,e23,o14,8.62,1,-2.413865217,1,tr
112,0,7,5,2,s12,s21,e12,e21,o12,2.54,1,-1.818684302,1,tr
112,1,4,17,2,s12,s21,e12,e21,o12,2.54,1,-2.093130175,0,tr
113,0,6,5,1.5,s11,s21,e11,e22,o14,3.28,3,-1.447469027,1,ts
113,1,5,18,2,s11,s21,e11,e22,o14,3.28,3,-1.604142529,0,ts
114,0,6,5,1.5,s11,s21,e12,e22,o14,2.58,3,-1.176057359,1,tr
114,1,3,15,2,s11,s21,e12,e22,o14,2.58,3,-1.798303037,0,tr
115,0,8,5,1.5,s11,s23,e11,e22,o12,5.31,2,-2.052692889,1,tr
115,1,6,15,2.75,s11,s23,e11,e22,o12,5.31,2,-2.558977256,0,tr
116,0,13,5,1.5,s12,s21,e12,e23,o11,6.59,1,-2.531345403,0,ts
116,1,11,15,2.75,s12,s21,e12,e23,o11,6.59,1,-2.163504822,1,ts
117,0,23,4,2,s11,s21,e11,e22,o14,10.02,3,-2.86818568,0,tr
117,1,15,17,3.5,s11,s21,e11,e22,o14,10.02,3,-2.359078765,1,tr
118,0,7,5,1.5,s11,s23,e11,e21,o13,3.64,2,-2.00578816,1,tr
118,1,5,14,2,s11,s23,e11,e21,o13,3.64,2,-2.4134559,0,tr
119,0,15,7,1.5,s11,s22,e11,e22,o13,6.79,2,-3.377696859,0,tr
119,1,11,15,2.75,s11,s22,e11,e22,o13,6.79,2,-3.003352617,1,tr
120,0,4,6,1.5,s12,s21,e12,e21,o13,3.11,1,-1.40898877,1,tr
120,1,5,15,2,s12,s21,e12,e21,o13,3.11,1,-1.790628517,0,tr
121,0,4,4,1.5,s12,s21,e12,e22,o12,2.13,1,-1.451606111,1,ts
121,1,3,13,2,s12,s21,e12,e22,o12,2.13,1,-1.486162835,0,ts
122,0,16,3,1.5,s11,s21,e11,e22,o13,7.42,3,-2.327521172,0,tr
122,1,11,13,2.75,s11,s21,e11,e22,o13,7.42,3,-1.372186661,1,tr
123,0,9,5,1.5,s12,s21,e11,e23,o12,4.21,1,-1.909987106,0,tr
123,1,6,13,2,s12,s21,e11,e23,o12,4.21,1,-0.867193836,1,tr
124,0,5,4,1.5,s11,s21,e11,e22,o14,2.8,3,-1.10003551,0,tr
124,1,4,14,2,s11,s21,e11,e22,o14,2.8,3,-0.78429678,1,tr
125,0,7,7,1.5,s13,s21,e12,e22,o12,3.35,3,-1.812153541,1,tr
125,1,4,17,2,s13,s21,e12,e22,o12,3.35,3,-1.951907667,0,tr
126,0,5,5,1.5,s12,s23,e13,e21,o11,2.57,1,-1.617938085,1,tr
126,1,4,19,2,s12,s23,e13,e21,o11,2.57,1,-2.672705777,0,tr
127,0,12,6,1.5,s11,s21,e12,e23,o11,6.62,3,-2.142074233,1,tr
127,1,10,15,2.75,s11,s21,e12,e23,o11,6.62,3,-2.152012936,0,tr
128,0,4,4,2,s11,s21,e11,e22,o14,2.17,3,-1.306788874,0,tr
128,1,3,17,2,s11,s21,e11,e22,o14,2.17,3,-1.065283036,1,tr
129,0,7,4,2,s11,s23,e11,e22,o13,4.05,2,-1.751887424,1,tr
129,1,6,14,2,s11,s23,e11,e22,o13,4.05,2,-2.293953253,0,tr
130,0,7,5,1.5,s11,s23,e11,e21,o11,5.03,2,-1.802524177,1,tr
130,1,7,18,2.75,s11,s23,e11,e21,o11,5.03,2,-3.820660212,0,tr
131,0,12,5,2,s11,s21,e13,e22,o12,5.88,3,-2.104350147,1,tr
131,1,9,17,2.75,s11,s21,e13,e22,o12,5.88,3,-2.992684324,0,tr
132,0,7,6,1.5,s11,s21,e11,e22,o13,2.93,3,-1.474951406,0,tr
132,1,5,17,2,s11,s21,e11,e22,o13,2.93,3,-1.214916419,1,tr
133,0,5,6,1.5,s11,s21,e11,e22,o13,2.21,3,-1.481916894,0,tr
133,1,3,14,2,s11,s21,e11,e22,o13,2.21,3,-0.536207372,1,tr
134,0,6,5,1.5,s11,s23,e12,e22,o11,3.01,2,-1.83609754,1,tr
134,1,5,18,2,s11,s23,e12,e22,o11,3.01,2,-3.890450047,0,tr
135,0,23,4,1.5,s11,s21,e13,e21,o13,8.03,3,-3.111106513,0,tr
135,1,12,15,2.75,s11,s21,e13,e21,o13,8.03,3,-3.070959668,1,tr
136,0,5,4,1.5,s11,s21,e11,e22,o12,2.67,3,-1.124247499,0,tr
136,1,4,18,2,s11,s21,e11,e22,o12,2.67,3,-1.088394681,1,tr
137,0,12,3,2,s12,s21,e11,e22,o11,7.86,1,-1.972146709,1,tr
137,1,13,15,2.75,s12,s21,e11,e22,o11,7.86,1,-2.006771671,0,tr
138,0,3,5,1.5,s12,s23,e12,e21,o13,2.36,2,-1.66144848,1,tr
138,1,3,16,2,s12,s23,e12,e21,o13,2.36,2,-3.595650459,0,tr
139,0,6,4,1.5,s12,s21,e11,e22,o11,3.23,1,-0.967791131,1,tr
139,1,5,17,2,s12,s21,e11,e22,o11,3.23,1,-1.314091538,0,tr
140,0,12,5,1.5,s11,s21,e11,e22,o13,7.15,3,-2.058724419,0,tr
140,1,10,13,2.75,s11,s21,e11,e22,o13,7.15,3,-1.572049943,1,tr
141,0,10,5,1.5,s12,s21,e11,e22,o13,5.87,1,-1.644962839,1,ts
141,1,9,16,2.75,s12,s21,e11,e22,o13,5.87,1,-1.78191715,0,ts
142,0,32,6,2,s11,s21,e12,e22,o12,17.75,3,-4.032133573,0,tr
142,1,27,12,4.25,s11,s21,e12,e22,o12,17.75,3,-3.82147337,1,tr
143,0,7,4,2,s12,s21,e11,e22,o13,2.75,1,-1.769364178,0,tr
143,1,4,15,2,s12,s21,e11,e22,o13,2.75,1,-0.880293437,1,tr
144,0,5,4,1.5,s11,s21,e11,e23,o13,2.5,3,-1.020239476,0,tr
144,1,4,16,2,s11,s21,e11,e23,o13,2.5,3,-0.765921799,1,tr
145,0,6,7,1.5,s13,s21,e11,e23,o12,3.54,3,-1.726606784,0,tr
145,1,6,14,2,s13,s21,e11,e23,o12,3.54,3,-0.808439523,1,tr
146,0,25,4,2,s11,s21,e11,e22,o13,10.17,3,-3.350028182,0,ts
146,1,15,16,3.5,s11,s21,e11,e22,o13,10.17,3,-2.441507864,1,ts
147,0,22,5,1.5,s12,s21,e11,e22,o13,10.44,1,-3.68620693,0,ts
147,1,15,18,3.5,s12,s21,e11,e22,o13,10.44,1,-2.613911829,1,ts
148,0,14,3,1.5,s11,s21,e11,e22,o12,5.69,3,-1.775254614,0,tr
148,1,8,16,2.75,s11,s21,e11,e22,o12,5.69,3,-1.754504908,1,tr
149,0,8,5,1.5,s13,s21,e12,e23,o12,3.21,3,-1.80671345,0,ts
149,1,5,13,2,s13,s21,e12,e23,o12,3.21,3,-1.351496765,1,ts
150,0,14,6,1.5,s13,s21,e12,e22,o12,6.04,3,-2.251972608,0,ts
150,1,9,14,2.75,s13,s21,e12,e22,o12,6.04,3,-2.125788637,1,ts
151,0,17,6,2,s12,s22,e12,e22,o14,8.08,2,-3.198912342,1,ts
151,1,11,13,2.75,s12,s22,e12,e22,o14,8.08,2,-3.64192055,0,ts
152,0,14,3,1.5,s12,s21,e13,e22,o14,5.83,1,-2.2291927,1,tr
152,1,8,13,2.75,s12,s21,e13,e22,o14,5.83,1,-2.375481552,0,tr
153,0,3,5,1.5,s12,s21,e11,e22,o13,2.15,1,-1.344802479,0,ts
153,1,3,15,2,s12,s21,e11,e22,o13,2.15,1,-0.748228834,1,ts
154,0,15,5,1.5,s13,s21,e11,e22,o13,7.24,3,-2.450064964,0,tr
154,1,10,16,2.75,s13,s21,e11,e22,o13,7.24,3,-1.940862148,1,tr
155,0,8,5,1.5,s12,s21,e13,e23,o12,5.61,2,-2.059282524,1,tr
155,1,8,18,2.75,s12,s21,e13,e23,o12,5.61,2,-5.269597283,0,tr
156,0,9,5,1.5,s12,s21,e12,e22,o11,6.34,1,-1.97298428,1,ts
156,1,9,17,2.75,s12,s21,e12,e22,o11,6.34,1,-2.649116946,0,ts
157,0,4,6,1.5,s11,s21,e11,e21,o13,3.68,3,-1.201561048,0,tr
157,1,5,13,2,s11,s21,e11,e21,o13,3.68,3,-0.968342119,1,tr
