id,alt,x1,x2,x3,s1,s2,e1,e2,o1,dist,LC,utility,match,flag
13,0,24.0,4.0,1.5,s11,s23,e11,e23,o12,13.43,3,-3.1398903975762673,0,tr
13,1,20.0,16.0,3.5,s11,s23,e11,e23,o12,13.43,3,-2.4544751977318855,1,tr
14,0,41.0,5.0,1.5,s12,s21,e12,e21,o12,17.04,1,-5.893367248552953,0,tr
14,1,25.0,13.0,4.25,s12,s21,e12,e21,o12,17.04,1,-4.176794391639145,1,tr
15,0,6.0,5.0,1.5,s11,s22,e12,e22,o12,2.15,2,-2.155695788449871,1,tr
15,1,3.0,18.0,2.0,s11,s22,e12,e22,o12,2.15,2,-3.827153283602612,0,tr
16,0,8.0,3.0,1.5,s11,s21,e11,e22,o13,3.26,3,-1.172761964530838,1,tr
16,1,5.0,17.0,2.0,s11,s21,e11,e22,o13,3.26,3,-1.2968746288504005,0,tr
17,0,6.0,5.0,1.5,s11,s21,e11,e21,o12,2.36,3,-1.3589214402306395,0,tr
17,1,4.0,14.0,2.0,s11,s21,e11,e21,o12,2.36,3,-0.8465065024794949,1,tr
18,0,11.0,6.0,2.0,s11,s21,e12,e21,o13,4.18,3,-2.2695455640110116,1,tr
18,1,6.0,16.0,2.0,s11,s21,e12,e21,o13,4.18,3,-2.3330210407924414,0,tr
19,0,6.0,5.0,2.0,s12,s21,e11,e22,o13,2.78,1,-1.7294700991373158,0,ts
19,1,4.0,13.0,2.0,s12,s21,e11,e22,o13,2.78,1,-0.8028884662590214,1,ts
20,0,7.0,5.0,1.5,s11,s23,e12,e23,o13,3.19,2,-2.149246019038638,1,tr
20,1,5.0,16.0,2.0,s11,s23,e12,e23,o13,3.19,2,-3.7810218292407898,0,tr
21,0,11.0,4.0,1.5,s12,s21,e11,e22,o13,5.17,1,-2.0267789316694724,0,tr
21,1,8.0,11.0,2.75,s12,s21,e11,e22,o13,5.17,1,-0.885357493423925,1,tr
22,0,38.0,6.0,1.5,s11,s21,e11,e21,o13,13.23,3,-4.783916875709798,0,tr
22,1,19.0,14.0,3.5,s11,s21,e11,e21,o13,13.23,3,-2.559754306913211,1,tr
23,0,11.0,5.0,1.5,s13,s21,e11,e22,o13,5.22,3,-1.9142346938528556,0,ts
23,1,7.0,19.0,2.75,s13,s21,e11,e22,o13,5.22,3,-1.8730442338402318,1,ts
24,0,19.0,6.0,1.5,s12,s21,e11,e23,o13,9.34,1,-3.2960650273059575,0,tr
24,1,15.0,13.0,2.75,s12,s21,e11,e23,o13,9.34,1,-1.886405057044216,1,tr
25,0,7.0,4.0,1.5,s12,s21,e12,e23,o13,4.08,1,-1.5838475718401832,1,tr
25,1,6.0,16.0,2.0,s12,s21,e12,e23,o13,4.08,1,-1.836837355898374,0,tr
26,0,6.0,7.0,1.5,s12,s21,e12,e23,o13,2.63,1,-1.740055125554497,1,ts
26,1,4.0,16.0,2.0,s12,s21,e12,e23,o13,2.63,1,-1.9310710234138797,0,ts
27,0,12.0,7.0,2.0,s11,s21,e12,e22,o12,5.16,3,-2.1581960088668675,1,tr
27,1,7.0,21.0,2.75,s11,s21,e12,e22,o12,5.16,3,-2.8775831038592927,0,tr
28,0,21.0,5.0,1.5,s12,s21,e12,e22,o13,8.78,1,-3.1962607208698186,1,ts
28,1,12.0,18.0,2.75,s12,s21,e12,e22,o13,8.78,1,-3.485001663144037,0,ts
29,0,3.0,6.0,1.5,s11,s21,e12,e22,o12,2.57,1,-1.2544941075402412,1,tr
29,1,4.0,13.0,2.0,s11,s21,e12,e22,o12,2.57,1,-1.6054964684862303,0,tr
30,0,5.0,7.0,2.0,s12,s21,e13,e23,o13,2.15,1,-1.7315086480424149,1,tr
30,1,3.0,17.0,2.0,s12,s21,e13,e23,o13,2.15,1,-2.134222924531424,0,tr
31,0,16.0,4.0,1.5,s11,s21,e12,e21,o12,7.64,3,-2.416532858101559,1,tr
31,1,12.0,12.0,2.75,s11,s21,e12,e21,o12,7.64,3,-2.522140226859294,0,tr
32,0,8.0,6.0,1.5,s11,s21,e11,e22,o12,2.93,3,-1.664496390349495,0,ts
32,1,4.0,14.0,2.0,s11,s21,e11,e22,o12,2.93,3,-0.7285992904105564,1,ts
33,0,19.0,5.0,1.5,s12,s21,e12,e23,o13,11.56,1,-3.118489000864509,1,ts
33,1,17.0,16.0,3.5,s12,s21,e12,e23,o13,11.56,1,-3.306445558602086,0,ts
34,0,27.0,6.0,1.5,s11,s22,e11,e22,o13,10.47,1,-4.361627909183495,0,ts
34,1,17.0,15.0,3.5,s11,s22,e11,e22,o13,10.47,1,-2.5649632081446527,1,ts
35,0,18.0,5.0,1.5,s11,s21,e12,e23,o12,9.17,2,-3.2687162102630847,1,tr
35,1,14.0,11.0,2.75,s11,s21,e12,e23,o12,9.17,2,-3.46342205199949,0,tr
36,0,9.0,6.0,1.5,s11,s21,e13,e21,o13,5.14,3,-1.839164291239563,1,tr
36,1,7.0,15.0,2.75,s11,s21,e13,e21,o13,5.14,3,-2.4947115065279815,0,tr
37,0,6.0,5.0,1.5,s12,s21,e12,e21,o13,4.08,2,-1.9039856643823159,1,tr
37,1,6.0,17.0,2.0,s12,s21,e12,e21,o13,4.08,2,-3.968588668647513,0,tr
38,0,7.0,7.0,1.5,s12,s21,e12,e22,o14,3.71,1,-1.8900396754333035,0,tr
38,1,6.0,13.0,2.0,s12,s21,e12,e22,o14,3.71,1,-1.6250388448709954,1,tr
39,0,6.0,4.0,2.0,s11,s21,e11,e22,o13,3.24,3,-1.4842979697777543,0,tr
39,1,5.0,11.0,2.0,s11,s21,e11,e22,o13,3.24,3,-0.48908468288106866,1,tr
40,0,6.0,5.0,1.5,s11,s22,e12,e21,o11,3.79,2,-1.9550362632727054,1,tr
40,1,6.0,14.0,2.0,s11,s22,e12,e21,o11,3.79,2,-3.4009143109735556,0,tr
41,0,4.0,5.0,1.5,s11,s22,e12,e21,o12,3.69,1,-1.1501438398192314,1,tr
41,1,6.0,14.0,2.0,s11,s22,e12,e21,o12,3.69,1,-1.9428415908562533,0,tr
42,0,22.0,5.0,2.0,s12,s21,e12,e21,o11,11.72,3,-3.164989188594672,1,tr
42,1,17.0,16.0,3.5,s12,s21,e12,e21,o11,11.72,3,-3.5737920005768613,0,tr
43,0,6.0,5.0,1.5,s11,s21,e11,e21,o12,2.17,3,-1.2401651578908839,0,tr
43,1,3.0,15.0,2.0,s11,s21,e11,e21,o12,2.17,3,-0.9922082449312445,1,tr
44,0,13.0,5.0,1.5,s11,s22,e11,e22,o12,7.38,2,-2.658910944474686,1,ts
44,1,11.0,15.0,2.75,s11,s22,e11,e22,o12,7.38,2,-2.861531941559367,0,ts
45,0,16.0,5.0,2.0,s12,s21,e12,e22,o13,8.81,1,-2.955343768682392,0,tr
45,1,14.0,14.0,2.75,s12,s21,e12,e22,o13,8.81,1,-2.8916742388670027,1,tr
46,0,4.0,6.0,1.5,s12,s21,e13,e23,o13,2.97,1,-1.4017103595053926,0,tr
46,1,4.0,10.0,2.0,s12,s21,e13,e23,o13,2.97,1,-0.9794118807869643,1,tr
47,0,14.0,6.0,2.0,s11,s21,e13,e22,o13,6.95,3,-2.5617478555218756,1,ts
47,1,11.0,17.0,2.75,s11,s21,e13,e22,o13,6.95,3,-3.461814852558096,0,ts
48,0,8.0,5.0,1.5,s12,s23,e13,e21,o12,4.2,1,-1.7668483904966963,1,tr
48,1,7.0,14.0,2.0,s12,s23,e13,e21,o12,4.2,1,-2.29352851315831,0,tr
49,0,9.0,6.0,2.0,s12,s21,e13,e21,o13,4.26,1,-2.2249107937897925,1,tr
49,1,7.0,15.0,2.0,s12,s21,e13,e21,o13,4.26,1,-2.574724809727533,0,tr
50,0,6.0,6.0,1.5,s13,s21,e13,e22,o12,3.33,3,-1.6737671856543304,1,tr
50,1,5.0,16.0,2.0,s13,s21,e13,e22,o12,3.33,3,-2.495762870036215,0,tr
51,0,6.0,5.0,1.5,s12,s21,e12,e23,o13,2.69,2,-2.079950732892019,1,tr
51,1,4.0,16.0,2.0,s12,s21,e12,e23,o13,2.69,2,-4.010926016534758,0,tr
52,0,8.0,5.0,1.5,s12,s23,e12,e22,o13,6.25,1,-1.5357370506495542,1,tr
52,1,10.0,15.0,2.75,s12,s23,e12,e22,o13,6.25,1,-2.589114599963555,0,tr
53,0,7.0,4.0,2.0,s11,s21,e11,e23,o12,3.22,3,-1.3133955056288125,0,ts
53,1,5.0,17.0,2.0,s11,s21,e11,e23,o12,3.22,3,-1.0155742992881285,1,ts
54,0,5.0,4.0,1.5,s11,s21,e11,e22,o13,2.67,3,-1.07221591004543,1,tr
54,1,4.0,17.0,2.0,s11,s21,e11,e22,o13,2.67,3,-1.2072539618354712,0,tr
55,0,14.0,6.0,1.5,s12,s21,e12,e22,o14,7.82,1,-2.5378356518911898,0,tr
55,1,14.0,11.0,2.75,s12,s21,e12,e22,o14,7.82,1,-2.335911669224793,1,tr
56,0,4.0,6.0,1.5,s12,s21,e11,e22,o12,2.23,1,-1.3709897872830026,1,tr
56,1,3.0,19.0,2.0,s12,s21,e11,e22,o12,2.23,1,-1.5380531741173464,0,tr
57,0,6.0,7.0,1.5,s12,s23,e11,e23,o13,3.04,1,-2.0373779938497347,0,tr
57,1,5.0,17.0,2.0,s12,s23,e11,e23,o13,3.04,1,-0.9571502942939837,1,tr
58,0,21.0,3.0,1.5,s11,s23,e13,e22,o14,10.95,2,-2.831337877534258,1,tr
58,1,17.0,15.0,3.5,s11,s23,e13,e22,o14,10.95,2,-4.981982289460864,0,tr
59,0,5.0,5.0,2.0,s12,s21,e12,e22,o13,2.51,1,-1.4769678502473966,1,ts
59,1,4.0,18.0,2.0,s12,s21,e12,e22,o13,2.51,1,-2.1866729809933525,0,ts
60,0,6.0,5.0,2.0,s12,s21,e12,e22,o12,3.97,1,-1.5661591239172519,1,tr
60,1,6.0,16.0,2.0,s12,s21,e12,e22,o12,3.97,1,-1.8743794920115655,0,tr
61,0,16.0,5.0,1.5,s12,s21,e12,e22,o13,5.4,1,-2.8500445582948832,0,tr
61,1,8.0,11.0,2.75,s12,s21,e12,e22,o13,5.4,1,-1.6265669467898816,1,tr
62,0,6.0,6.0,2.0,s11,s23,e12,e21,o11,2.7,2,-2.0310625568428313,1,tr
62,1,4.0,18.0,2.0,s11,s23,e12,e21,o11,2.7,2,-4.483532026048382,0,tr
63,0,6.0,5.0,1.5,s12,s21,e12,e23,o11,2.58,1,-1.5458089366777703,0,ts
63,1,4.0,12.0,2.0,s12,s21,e12,e23,o11,2.58,1,-1.066757811921136,1,ts
64,0,13.0,5.0,2.0,s12,s23,e11,e23,o14,4.63,1,-2.505551453033666,0,tr
64,1,7.0,18.0,2.0,s12,s23,e11,e23,o14,4.63,1,-1.490760656047303,1,tr
65,0,8.0,4.0,1.5,s13,s21,e13,e22,o11,5.08,3,-1.2343915629746627,1,tr
65,1,8.0,15.0,2.75,s13,s21,e13,e22,o11,5.08,3,-2.6114809823590166,0,tr
66,0,9.0,4.0,1.5,s12,s21,e13,e21,o13,5.32,1,-1.8240909011641016,1,tr
66,1,8.0,16.0,2.75,s12,s21,e13,e21,o13,5.32,1,-2.9195841077864917,0,tr
67,0,26.0,6.0,1.5,s11,s21,e11,e22,o11,18.11,2,-3.909462858597038,1,tr
67,1,27.0,14.0,4.25,s11,s21,e11,e22,o11,18.11,2,-4.369437303277818,0,tr
68,0,32.0,5.0,1.5,s11,s23,e12,e21,o12,16.9,2,-4.4147185272507,1,tr
68,1,24.0,16.0,4.25,s11,s23,e12,e21,o12,16.9,2,-5.719314803519808,0,tr
69,0,12.0,5.0,1.5,s12,s21,e12,e21,o12,4.92,1,-2.2582609590112086,0,tr
69,1,7.0,14.0,2.0,s12,s21,e12,e21,o12,4.92,1,-2.121751919716807,1,tr
70,0,16.0,5.0,1.5,s12,s21,e12,e22,o14,7.97,1,-2.80463974664861,0,tr
70,1,12.0,13.0,2.75,s12,s21,e12,e22,o14,7.97,1,-2.135367519177846,1,tr
71,0,5.0,4.0,1.5,s12,s21,e12,e21,o11,5.04,1,-1.2974098650388146,1,tr
71,1,7.0,17.0,2.75,s12,s21,e12,e21,o11,5.04,1,-2.2760340701580306,0,tr
72,0,5.0,5.0,1.5,s12,s21,e13,e21,o12,2.4,1,-1.7050135649611398,1,tr
72,1,4.0,16.0,2.0,s12,s21,e13,e21,o12,2.4,1,-2.396847970138589,0,tr
73,0,3.0,5.0,1.5,s11,s21,e12,e22,o13,2.27,3,-1.2782298920614978,1,tr
73,1,3.0,18.0,2.0,s11,s21,e12,e22,o13,2.27,3,-2.060094468877155,0,tr
74,0,9.0,4.0,1.5,s12,s21,e11,e23,o13,5.4,1,-1.7766225803242035,0,tr
74,1,8.0,14.0,2.75,s12,s21,e11,e23,o13,5.4,1,-1.0181685661631115,1,tr
75,0,23.0,5.0,1.5,s12,s21,e13,e23,o11,9.29,1,-3.5227088607646353,0,ts
75,1,14.0,14.0,2.75,s12,s21,e13,e23,o11,9.29,1,-2.9232602133291623,1,ts
76,0,7.0,6.0,2.0,s11,s23,e12,e21,o11,3.2,2,-2.3808132762042575,1,tr
76,1,5.0,13.0,2.0,s11,s23,e12,e21,o11,3.2,2,-2.9868699729317503,0,tr
77,0,17.0,5.0,1.5,s11,s21,e12,e21,o13,8.65,3,-2.5542189617442417,1,tr
77,1,14.0,15.0,2.75,s11,s21,e12,e21,o13,8.65,3,-2.9531855066899197,0,tr
78,0,49.0,5.0,1.5,s11,s23,e12,e21,o12,18.95,2,-6.122230217258815,0,tr
78,1,28.0,15.0,4.25,s11,s23,e12,e21,o12,18.95,2,-5.697529097088168,1,tr
79,0,8.0,6.0,1.5,s11,s21,e11,e22,o13,3.9,3,-1.5746116223710245,0,ts
79,1,6.0,14.0,2.0,s11,s21,e11,e22,o13,3.9,3,-1.149212541899887,1,ts
80,0,4.0,6.0,1.5,s11,s21,e11,e22,o13,3.33,3,-1.2290560137167317,0,tr
80,1,5.0,16.0,2.0,s11,s21,e11,e22,o13,3.33,3,-1.0951744896272408,1,tr
81,0,4.0,7.0,2.0,s11,s21,e11,e21,o12,2.34,3,-1.2602654154865043,0,ts
81,1,4.0,15.0,2.0,s11,s21,e11,e21,o12,2.34,3,-1.0670974105617663,1,ts
82,0,13.0,5.0,2.0,s11,s21,e11,e22,o14,5.4,3,-2.0580939910940237,0,tr
82,1,9.0,14.0,2.75,s11,s21,e11,e22,o14,5.4,3,-1.3900112783690117,1,tr
83,0,17.0,6.0,2.0,s11,s21,e11,e23,o11,7.87,3,-2.516800286823745,0,tr
83,1,10.0,15.0,2.75,s11,s21,e11,e23,o11,7.87,3,-1.810658340397646,1,tr
84,0,5.0,3.0,1.5,s11,s21,e12,e22,o11,2.41,3,-0.6743633777718961,1,ts
84,1,3.0,17.0,2.0,s11,s21,e12,e22,o11,2.41,3,-2.134388994394747,0,ts
85,0,7.0,5.0,1.5,s11,s21,e12,e22,o11,4.26,3,-1.3496211861580902,1,tr
85,1,7.0,19.0,2.0,s11,s21,e12,e22,o11,4.26,3,-2.705525139241517,0,tr
86,0,5.0,5.0,1.5,s12,s21,e11,e21,o13,2.08,1,-1.4524708399232789,0,ts
86,1,3.0,15.0,2.0,s12,s21,e11,e21,o13,2.08,1,-0.9028846139817343,1,ts
87,0,8.0,6.0,2.0,s11,s21,e11,e21,o11,3.65,3,-1.8159085815031464,0,ts
87,1,5.0,16.0,2.0,s11,s21,e11,e21,o11,3.65,3,-1.4051078107307848,1,ts
88,0,9.0,5.0,2.0,s11,s21,e13,e22,o13,5.09,3,-1.8069601002218294,1,tr
88,1,8.0,18.0,2.75,s11,s21,e13,e22,o13,5.09,3,-3.1194839677983115,0,tr
89,0,25.0,7.0,2.0,s11,s21,e11,e23,o13,11.32,3,-3.534950703469487,0,tr
89,1,18.0,16.0,3.5,s11,s21,e11,e23,o13,11.32,3,-2.5328873923291666,1,tr
90,0,31.0,5.0,1.5,s11,s23,e11,e22,o13,14.69,2,-4.3914939202133745,1,tr
90,1,23.0,15.0,3.5,s11,s23,e11,e22,o13,14.69,2,-4.603220196256448,0,tr
91,0,9.0,6.0,1.5,s11,s21,e12,e22,o11,4.01,3,-1.7822150074540901,1,tr
91,1,6.0,15.0,2.0,s11,s21,e12,e22,o11,4.01,3,-1.932901689897511,0,tr
92,0,5.0,5.0,1.5,s11,s21,e11,e22,o14,2.79,3,-1.128628301810762,0,tr
92,1,4.0,12.0,2.0,s11,s21,e11,e22,o14,2.79,3,-0.5528128829845641,1,tr
93,0,6.0,3.0,2.0,s11,s23,e11,e22,o12,2.31,2,-1.5177971264964665,1,tr
93,1,4.0,13.0,2.0,s11,s23,e11,e22,o12,2.31,2,-1.8608084366384632,0,tr
94,0,3.0,3.0,1.5,s12,s21,e11,e22,o13,2.05,1,-0.8660628636752108,0,tr
94,1,3.0,15.0,2.0,s12,s21,e11,e22,o13,2.05,1,-0.5241182898427635,1,tr
95,0,23.0,7.0,2.0,s11,s21,e12,e23,o11,12.73,3,-3.356495461589806,0,tr
95,1,17.0,13.0,3.5,s11,s21,e12,e23,o11,12.73,3,-2.6127222298471766,1,tr
96,0,4.0,5.0,2.0,s11,s21,e13,e22,o13,2.99,3,-1.4354801854760826,1,tr
96,1,5.0,13.0,2.0,s11,s21,e13,e22,o13,2.99,3,-2.195367939232181,0,tr
97,0,16.0,5.0,2.0,s12,s21,e12,e21,o11,8.28,1,-2.7159394636027425,1,ts
97,1,12.0,15.0,2.75,s12,s21,e12,e21,o11,8.28,1,-2.7990466344355127,0,ts
98,0,8.0,7.0,2.0,s12,s21,e11,e22,o13,4.03,1,-2.2243058387719588,0,tr
98,1,6.0,17.0,2.0,s12,s21,e11,e22,o13,4.03,1,-1.5989747248484583,1,tr
99,0,8.0,4.0,1.5,s11,s21,e11,e22,o11,5.33,3,-1.4307959199955957,1,tr
99,1,8.0,16.0,2.75,s11,s21,e11,e22,o11,5.33,3,-1.6441057368370953,0,tr
100,0,19.0,4.0,1.5,s11,s21,e12,e23,o12,10.12,3,-2.6423733249275996,1,ts
100,1,16.0,14.0,3.5,s11,s21,e12,e23,o12,10.12,3,-2.6970838749275625,0,ts
101,0,16.0,5.0,1.5,s11,s21,e12,e23,o12,7.12,3,-2.4287021224599674,0,tr
101,1,10.0,15.0,2.75,s11,s21,e12,e23,o12,7.12,3,-1.9445876168289518,1,tr
102,0,10.0,5.0,1.5,s11,s21,e12,e23,o11,4.3,3,-2.1024442921716715,0,tr
102,1,5.0,16.0,2.0,s11,s21,e12,e23,o11,4.3,3,-1.857068210623652,1,tr
103,0,7.0,3.0,1.5,s12,s21,e11,e22,o13,2.8,1,-1.618009585316606,0,tr
103,1,4.0,14.0,2.0,s12,s21,e11,e22,o13,2.8,1,-0.9096842039541855,1,tr
104,0,11.0,6.0,1.5,s11,s21,e13,e22,o14,5.04,3,-2.169100296929753,1,tr
104,1,8.0,16.0,2.75,s11,s21,e13,e22,o14,5.04,3,-2.780296516170985,0,tr
105,0,10.0,5.0,1.5,s12,s21,e11,e22,o14,4.5,1,-1.9598619831545143,0,tr
105,1,6.0,14.0,2.0,s12,s21,e11,e22,o14,4.5,1,-1.0198604968928104,1,tr
106,0,9.0,4.0,1.5,s11,s23,e11,e22,o12,3.88,2,-2.128099097248677,1,tr
106,1,6.0,16.0,2.0,s11,s23,e11,e22,o12,3.88,2,-2.799368708242112,0,tr
107,0,13.0,5.0,1.5,s12,s21,e11,e22,o12,7.14,1,-2.436362213266859,0,tr
107,1,11.0,16.0,2.75,s12,s21,e11,e22,o12,7.14,1,-1.9704964023024032,1,tr
108,0,11.0,6.0,1.5,s12,s22,e12,e21,o11,4.42,1,-2.2830320093035814,0,tr
108,1,7.0,14.0,2.0,s12,s22,e12,e21,o11,4.42,1,-1.952867589890576,1,tr
109,0,49.0,4.0,1.5,s11,s23,e13,e22,o12,23.02,2,-6.227880801713899,1,tr
109,1,33.0,14.0,5.0,s11,s23,e13,e22,o12,23.02,2,-6.337013830747276,0,tr
110,0,21.0,4.0,1.5,s12,s21,e12,e23,o13,9.41,1,-3.330155857866852,0,tr
110,1,14.0,16.0,2.75,s12,s21,e12,e23,o13,9.41,1,-3.0545907450537335,1,tr
111,0,20.0,4.0,1.5,s12,s23,e13,e23,o14,8.62,1,-3.128187307252235,0,tr
111,1,12.0,12.0,2.75,s12,s23,e13,e23,o14,8.62,1,-2.413865216926064,1,tr
112,0,7.0,5.0,2.0,s12,s21,e12,e21,o12,2.54,1,-1.8186843024677462,1,tr
112,1,4.0,17.0,2.0,s12,s21,e12,e21,o12,2.54,1,-2.093130174722395,0,tr
113,0,6.0,5.0,1.5,s11,s21,e11,e22,o14,3.28,3,-1.4474690269443389,1,ts
113,1,5.0,18.0,2.0,s11,s21,e11,e22,o14,3.28,3,-1.604142528764671,0,ts
114,0,6.0,5.0,1.5,s11,s21,e12,e22,o14,2.58,3,-1.1760573587129497,1,tr
114,1,3.0,15.0,2.0,s11,s21,e12,e22,o14,2.58,3,-1.7983030367392367,0,tr
115,0,8.0,5.0,1.5,s11,s23,e11,e22,o12,5.31,2,-2.0526928888309883,1,tr
115,1,6.0,15.0,2.75,s11,s23,e11,e22,o12,5.31,2,-2.5589772555236703,0,tr
116,0,13.0,5.0,1.5,s12,s21,e12,e23,o11,6.59,1,-2.5313454031633777,0,ts
116,1,11.0,15.0,2.75,s12,s21,e12,e23,o11,6.59,1,-2.163504821945519,1,ts
117,0,23.0,4.0,2.0,s11,s21,e11,e22,o14,10.02,3,-2.8681856798179757,0,tr
117,1,15.0,17.0,3.5,s11,s21,e11,e22,o14,10.02,3,-2.3590787648345506,1,tr
118,0,7.0,5.0,1.5,s11,s23,e11,e21,o13,3.64,2,-2.005788160207775,1,tr
118,1,5.0,14.0,2.0,s11,s23,e11,e21,o13,3.64,2,-2.4134558998858426,0,tr
119,0,15.0,7.0,1.5,s11,s22,e11,e22,o13,6.79,2,-3.3776968591013983,0,tr
119,1,11.0,15.0,2.75,s11,s22,e11,e22,o13,6.79,2,-3.003352617181823,1,tr
120,0,4.0,6.0,1.5,s12,s21,e12,e21,o13,3.11,1,-1.4089887696902723,1,tr
120,1,5.0,15.0,2.0,s12,s21,e12,e21,o13,3.11,1,-1.790628516638395,0,tr
121,0,4.0,4.0,1.5,s12,s21,e12,e22,o12,2.13,1,-1.4516061107647578,1,ts
121,1,3.0,13.0,2.0,s12,s21,e12,e22,o12,2.13,1,-1.4861628352021723,0,ts
122,0,16.0,3.0,1.5,s11,s21,e11,e22,o13,7.42,3,-2.3275211720795923,0,tr
122,1,11.0,13.0,2.75,s11,s21,e11,e22,o13,7.42,3,-1.3721866610920848,1,tr
123,0,9.0,5.0,1.5,s12,s21,e11,e23,o12,4.21,1,-1.9099871057482625,0,tr
123,1,6.0,13.0,2.0,s12,s21,e11,e23,o12,4.21,1,-0.8671938357956247,1,tr
124,0,5.0,4.0,1.5,s11,s21,e11,e22,o14,2.8,3,-1.1000355101035073,0,tr
124,1,4.0,14.0,2.0,s11,s21,e11,e22,o14,2.8,3,-0.7842967795427722,1,tr
125,0,7.0,7.0,1.5,s13,s21,e12,e22,o12,3.35,3,-1.8121535409085128,1,tr
125,1,4.0,17.0,2.0,s13,s21,e12,e22,o12,3.35,3,-1.9519076670351938,0,tr
126,0,5.0,5.0,1.5,s12,s23,e13,e21,o11,2.57,1,-1.61793808508576,1,tr
126,1,4.0,19.0,2.0,s12,s23,e13,e21,o11,2.57,1,-2.6727057771316574,0,tr
127,0,12.0,6.0,1.5,s11,s21,e12,e23,o11,6.62,3,-2.142074233161475,1,tr
127,1,10.0,15.0,2.75,s11,s21,e12,e23,o11,6.62,3,-2.1520129356178406,0,tr
128,0,4.0,4.0,2.0,s11,s21,e11,e22,o14,2.17,3,-1.3067888742222455,0,tr
128,1,3.0,17.0,2.0,s11,s21,e11,e22,o14,2.17,3,-1.0652830363016332,1,tr
129,0,7.0,4.0,2.0,s11,s23,e11,e22,o13,4.05,2,-1.7518874239657571,1,tr
129,1,6.0,14.0,2.0,s11,s23,e11,e22,o13,4.05,2,-2.2939532533162863,0,tr
130,0,7.0,5.0,1.5,s11,s23,e11,e21,o11,5.03,2,-1.802524176670138,1,tr
130,1,7.0,18.0,2.75,s11,s23,e11,e21,o11,5.03,2,-3.820660212095878,0,tr
131,0,12.0,5.0,2.0,s11,s21,e13,e22,o12,5.88,3,-2.1043501465331897,1,tr
131,1,9.0,17.0,2.75,s11,s21,e13,e22,o12,5.88,3,-2.992684324412741,0,tr
132,0,7.0,6.0,1.5,s11,s21,e11,e22,o13,2.93,3,-1.4749514062229632,0,tr
132,1,5.0,17.0,2.0,s11,s21,e11,e22,o13,2.93,3,-1.2149164188087223,1,tr
133,0,5.0,6.0,1.5,s11,s21,e11,e22,o13,2.21,3,-1.4819168937100875,0,tr
133,1,3.0,14.0,2.0,s11,s21,e11,e22,o13,2.21,3,-0.5362073717717598,1,tr
134,0,6.0,5.0,1.5,s11,s23,e12,e22,o11,3.01,2,-1.8360975401569073,1,tr
134,1,5.0,18.0,2.0,s11,s23,e12,e22,o11,3.01,2,-3.890450047068063,0,tr
135,0,23.0,4.0,1.5,s11,s21,e13,e21,o13,8.03,3,-3.1111065131054607,0,tr
